"word" "freq"
"quiet" "quiet" 11
"ran" "ran" 11
"rather" "rather" 11
"research" "research" 11
"reusable" "reusable" 11
"sale" "sale" 11
"san" "san" 11
"served" "served" 11
"setting" "setting" 11
"shaking" "shaking" 11
"shots" "shots" 11
"smoke" "smoke" 11
"son" "son" 11
"south" "south" 11
"stuck" "stuck" 11
"students" "students" 11
"sun" "sun" 11
"taken" "taken" 11
"toast" "toast" 11
"training" "training" 11
"trip" "trip" 11
"twice" "twice" 11
"wakes" "wakes" 11
"winter" "winter" 11
"wondering" "wondering" 11
"word" "word" 11
"zmir" "zmir" 11
"allowed" "allowed" 10
"arent" "arent" 10
"asking" "asking" 10
"baileys" "baileys" 10
"bitter" "bitter" 10
"boxer" "boxer" 10
"brooklyn" "brooklyn" 10
"calling" "calling" 10
"chai" "chai" 10
"cheap" "cheap" 10
"choose" "choose" 10
"clients" "clients" 10
"coffeebreak" "coffeebreak" 10
"cookies" "cookies" 10
"country" "country" 10
"coworkers" "coworkers" 10
"cozy" "cozy" 10
"del" "del" 10
"downtown" "downtown" 10
"drinker" "drinker" 10
"elastic" "elastic" 10
"empty" "empty" 10
"ethiopian" "ethiopian" 10
"fear" "fear" 10
"fire" "fire" 10
"flat" "flat" 10
"following" "following" 10
"force" "force" 10
"future" "future" 10
"goodmorning" "goodmorning" 10
"gotten" "gotten" 10
"grinder" "grinder" 10
"growing" "growing" 10
"hang" "hang" 10
"happens" "happens" 10
"homework" "homework" 10
"iheartawards" "iheartawards" 10
"interview" "interview" 10
"knowing" "knowing" 10
"laptop" "laptop" 10
"lately" "lately" 10
"lil" "lil" 10
"lives" "lives" 10
"loves" "loves" 10
"massive" "massive" 10
"meant" "meant" 10
"member" "member" 10
"members" "members" 10
"mention" "mention" 10
"menu" "menu" 10
"netflix" "netflix" 10
"nights" "nights" 10
"non" "non" 10
"officially" "officially" 10
"openwork" "openwork" 10
"option" "option" 10
"orders" "orders" 10
"pants" "pants" 10
"paying" "paying" 10
"perhaps" "perhaps" 10
"piece" "piece" 10
"pouch" "pouch" 10
"proud" "proud" 10
"puts" "puts" 10
"reach" "reach" 10
"recipe" "recipe" 10
"regret" "regret" 10
"restaurant" "restaurant" 10
"ride" "ride" 10
"sample" "sample" 10
"scrub" "scrub" 10
"seat" "seat" 10
"selling" "selling" 10
"session" "session" 10
"shut" "shut" 10
"signsyourelowonfunds" "signsyourelowonfunds" 10
"slow" "slow" 10
"slowly" "slowly" 10
"snack" "snack" 10
"soda" "soda" 10
"somewhere" "somewhere" 10
"stand" "stand" 10
"starts" "starts" 10
"station" "station" 10
"staying" "staying" 10
"stout" "stout" 10
"student" "student" 10
"studio" "studio" 10
"study" "study" 10
"swear" "swear" 10
"tasted" "tasted" 10
"teacher" "teacher" 10
"teacoffee" "teacoffee" 10
"telling" "telling" 10
"till" "till" 10
"trust" "trust" 10
"unless" "unless" 10
"vegan" "vegan" 10
"version" "version" 10
"waist" "waist" 10
"wash" "wash" 10
"ways" "ways" 10
"wife" "wife" 10
"yelp" "yelp" 10
"zero" "zero" 10
"absolutely" "absolutely" 9
"agree" "agree" 9
"alive" "alive" 9
"article" "article" 9
"ash" "ash" 9
"atam" "atam" 9
"attention" "attention" 9
"beach" "beach" 9
"benefits" "benefits" 9
"bestfanarmy" "bestfanarmy" 9
"bigger" "bigger" 9
"biggest" "biggest" 9
"bus" "bus" 9
"ceramic" "ceramic" 9
"choice" "choice" 9
"clear" "clear" 9
"click" "click" 9
"color" "color" 9
"computer" "computer" 9
"connect" "connect" 9
"contact" "contact" 9
"content" "content" 9
"cry" "cry" 9
"daughter" "daughter" 9
"despite" "despite" 9
"dick" "dick" 9
"dollar" "dollar" 9
"donut" "donut" 9
"drug" "drug" 9
"essential" "essential" 9
"evening" "evening" 9
"except" "except" 9
"excuse" "excuse" 9
"facebook" "facebook" 9
"fake" "fake" 9
"fell" "fell" 9
"fight" "fight" 9
"filter" "filter" 9
"fit" "fit" 9
"form" "form" 9
"giveaway" "giveaway" 9
"given" "given" 9
"gourmet" "gourmet" 9
"happier" "happier" 9
"hosting" "hosting" 9
"hotel" "hotel" 9
"hungry" "hungry" 9
"immediately" "immediately" 9
"international" "international" 9
"itll" "itll" 9
"jeans" "jeans" 9
"keeping" "keeping" 9
"key" "key" 9
"kid" "kid" 9
"known" "known" 9
"leaves" "leaves" 9
"lecture" "lecture" 9
"match" "match" 9
"minutes" "minutes" 9
"mobile" "mobile" 9
"monster" "monster" 9
"moving" "moving" 9
"muffin" "muffin" 9
"nah" "nah" 9
"nyc" "nyc" 9
"orange" "orange" 9
"paint" "paint" 9
"pair" "pair" 9
"parking" "parking" 9
"pass" "pass" 9
"passion" "passion" 9
"personal" "personal" 9
"personalized" "personalized" 9
"pictures" "pictures" 9
"pink" "pink" 9
"plastic" "plastic" 9
"plenty" "plenty" 9
"pound" "pound" 9
"poured" "poured" 9
"practice" "practice" 9
"premium" "premium" 9
"prices" "prices" 9
"process" "process" 9
"realize" "realize" 9
"recruiting" "recruiting" 9
"satisfyingly" "satisfyingly" 9
"saved" "saved" 9
"seem" "seem" 9
"services" "services" 9
"shake" "shake" 9
"shouldve" "shouldve" 9
"skip" "skip" 9
"smh" "smh" 9
"snacks" "snacks" 9
"somebody" "somebody" 9
"spilling" "spilling" 9
"spots" "spots" 9
"stick" "stick" 9
"stream" "stream" 9
"sucks" "sucks" 9
"surprised" "surprised" 9
"tbh" "tbh" 9
"touch" "touch" 9
"train" "train" 9
"truly" "truly" 9
"turkish" "turkish" 9
"understand" "understand" 9
"valley" "valley" 9
"view" "view" 9
"walks" "walks" 9
"wednesday" "wednesday" 9
"west" "west" 9
"yang" "yang" 9
"yep" "yep" 9
"advice" "advice" 8
"amwriting" "amwriting" 8
"anybody" "anybody" 8
"aophdfw" "aophdfw" 8
"apparently" "apparently" 8
"apple" "apple" 8
"babe" "babe" 8
"bagels" "bagels" 8
"beverage" "beverage" 8
"beyond" "beyond" 8
"bowl" "bowl" 8
"brown" "brown" 8
"buddy" "buddy" 8
"building" "building" 8
"burnt" "burnt" 8
"caff" "caff" 8
"calls" "calls" 8
"cappuccino" "cappuccino" 8
"cash" "cash" 8
"chip" "chip" 8
"christmas" "christmas" 8
"chug" "chug" 8
"coffeethe" "coffeethe" 8
"colombian" "colombian" 8
"common" "common" 8
"containers" "containers" 8
"continue" "continue" 8
"control" "control" 8
"crash" "crash" 8
"crying" "crying" 8
"crypto" "crypto" 8
"currently" "currently" 8
"dates" "dates" 8
"deliver" "deliver" 8
"details" "details" 8
"difference" "difference" 8
"disappointed" "disappointed" 8
"discovered" "discovered" 8
"drip" "drip" 8
"effects" "effects" 8
"egg" "egg" 8
"enter" "enter" 8
"exit" "exit" 8
"expensive" "expensive" 8
"fan" "fan" 8
"fantastic" "fantastic" 8
"fav" "fav" 8
"fbi" "fbi" 8
"figure" "figure" 8
